imdb_id,genre
tt0078721,Comedy
tt0078721,Romance
tt0078723,Action
tt0078723,Comedy
tt0078723,War
tt0322259,Action
tt0322259,Crime
tt0322259,Thriller
tt0298203,Drama
tt0298203,Music
tt0075784,Drama
tt0075784,History
tt0075784,War
tt1517451,Drama
tt1517451,Music
tt1517451,Romance
tt0117913,Crime
tt0117913,Drama
tt0117913,Thriller
tt0090264,Action
tt0090264,Adventure
tt0090264,Thriller
tt0109040,Comedy
tt0118571,Action
tt0118571,Drama
tt0118571,Thriller
tt0080339,Comedy
tt0103639,Adventure
tt0103639,Animation
tt0103639,Comedy
tt6139732,Adventure
tt6139732,Comedy
tt6139732,Family
tt0090605,Action
tt0090605,Adventure
tt0090605,Sci-Fi
tt0343135,Comedy
tt0343135,Romance
tt1231580,Adventure
tt1231580,Animation
tt1231580,Comedy
tt0163651,Comedy
tt0252866,Comedy
tt0305224,Comedy
tt0075686,Comedy
tt0075686,Romance
tt5095030,Action
tt5095030,Adventure
tt5095030,Comedy
tt1024648,Biography
tt1024648,Drama
tt1024648,Thriller
tt0499549,Action
tt0499549,Adventure
tt0499549,Fantasy
tt4154756,Action
tt4154756,Adventure
tt4154756,Sci-Fi
tt0096874,Adventure
tt0096874,Comedy
tt0096874,Sci-Fi
tt0172156,Action
tt0172156,Comedy
tt0172156,Crime
tt2771200,Adventure
tt2771200,Family
tt2771200,Fantasy
tt0086960,Action
tt0086960,Comedy
tt0086960,Crime
tt0142342,Comedy
tt0142342,Drama
tt2245084,Action
tt2245084,Adventure
tt2245084,Animation
tt3480822,Action
tt3480822,Adventure
tt3480822,Sci-Fi
tt0101507,Crime
tt0101507,Drama
tt0072737,Action
tt0072737,Adventure
tt0072737,Drama
tt0458339,Action
tt0458339,Adventure
tt0458339,Sci-Fi
tt1216475,Adventure
tt1216475,Animation
tt1216475,Comedy
tt0381061,Action
tt0381061,Adventure
tt0381061,Thriller
tt1489889,Action
tt1489889,Comedy
tt1489889,Crime
tt0071315,Drama
tt0071315,Mystery
tt0071315,Thriller
tt0087062,Action
tt0087062,Comedy
tt0087062,Crime
tt0082186,Action
tt0082186,Adventure
tt0082186,Family
tt0109444,Action
tt0109444,Crime
tt0109444,Drama
tt0389860,Comedy
tt0389860,Drama
tt0389860,Fantasy
tt0075860,Drama
tt0075860,Sci-Fi
tt0094898,Comedy
tt0094898,Romance
tt0118883,Action
tt0118883,Mystery
tt0118883,Thriller
tt0317303,Comedy
tt0317303,Family
tt0077394,Horror
tt0097165,Comedy
tt0097165,Drama
tt0106697,Action
tt0106697,Sci-Fi
tt0106697,Thriller
tt0099422,Action
tt0099422,Comedy
tt0099422,Crime
tt0145742,Crime
tt0101745,Comedy
tt0101745,Drama
tt0101745,Romance
tt0090966,Comedy
tt0240462,Comedy
tt0240462,Family
tt0240462,Fantasy
tt3861390,Adventure
tt3861390,Family
tt3861390,Fantasy
tt1160419,Action
tt1160419,Adventure
tt1160419,Drama
tt5013056,Action
tt5013056,Drama
tt5013056,History
tt0099487,Drama
tt0099487,Fantasy
tt0099487,Romance
tt0397313,Adventure
tt0397313,Drama
tt0397313,Family
tt0319343,Adventure
tt0319343,Comedy
tt0319343,Family
tt0082340,Action
tt0082340,Adventure
tt0082340,Sci-Fi
tt0077523,Action
tt0077523,Comedy
tt0116253,Action
tt0116253,Adventure
tt0116253,Thriller
tt3183660,Adventure
tt3183660,Family
tt3183660,Fantasy
tt4123430,Adventure
tt4123430,Family
tt4123430,Fantasy
tt0983946,Action
tt0983946,Adventure
tt0983946,Fantasy
tt6806448,Action
tt6806448,Adventure
tt6806448,Thriller
tt0083929,Comedy
tt0083929,Drama
tt0093010,Drama
tt0093010,Thriller
tt0083943,Action
tt0083943,Adventure
tt0083943,Thriller
tt0099582,Drama
tt0099582,Horror
tt0099582,Sci-Fi
tt0119137,Comedy
tt0119137,Family
tt0119137,Sci-Fi
tt0322330,Comedy
tt0322330,Family
tt0322330,Fantasy
tt0071521,Action
tt0071521,Comedy
tt0071521,Crime
tt0073018,Action
tt0073018,Crime
tt0073018,Drama
tt0068611,Thriller
tt2294629,Adventure
tt2294629,Animation
tt2294629,Comedy
tt2820852,Action
tt2820852,Adventure
tt2820852,Thriller
tt5052448,Horror
tt5052448,Mystery
tt5052448,Thriller
tt0113161,Comedy
tt0113161,Crime
tt0113161,Thriller
tt0087332,Action
tt0087332,Comedy
tt0087332,Fantasy
tt0172495,Action
tt0172495,Adventure
tt0172495,Drama
tt0120685,Action
tt0120685,Sci-Fi
tt0120685,Thriller
tt0831387,Action
tt0831387,Adventure
tt0831387,Sci-Fi
tt5034838,Action
tt5034838,Sci-Fi
tt5034838,Thriller
tt2267998,Drama
tt2267998,Mystery
tt2267998,Thriller
tt0187078,Action
tt0187078,Crime
tt0187078,Thriller
tt0077631,Musical
tt0077631,Romance
tt1375670,Comedy
tt2191701,Comedy
tt2015381,Action
tt2015381,Adventure
tt2015381,Comedy
tt0427327,Comedy
tt0427327,Drama
tt0427327,Musical
tt10665338,Horror
tt10665338,Thriller
tt0295297,Adventure
tt0295297,Family
tt0295297,Fantasy
tt0373889,Action
tt0373889,Adventure
tt0373889,Family
tt0077663,Comedy
tt0077663,Fantasy
tt0077663,Romance
tt0071607,Comedy
tt0071607,Family
tt0071607,Fantasy
tt0119282,Adventure
tt0119282,Animation
tt0119282,Comedy
tt0076138,Comedy
tt0076138,Drama
tt0164052,Action
tt0164052,Horror
tt0164052,Sci-Fi
tt2224026,Adventure
tt2224026,Animation
tt2224026,Comedy
tt5884960,Documentary
tt5220122,Adventure
tt5220122,Animation
tt5220122,Comedy
tt0892769,Action
tt0892769,Adventure
tt0892769,Animation
tt0119345,Horror
tt0119345,Mystery
tt1667889,Adventure
tt1667889,Animation
tt1667889,Comedy
tt2024432,Comedy
tt2024432,Crime
tt2024432,Drama
tt0107206,Action
tt0107206,Crime
tt0107206,Drama
tt0107211,Drama
tt0107211,Romance
tt0116629,Action
tt0116629,Adventure
tt0116629,Sci-Fi
tt0077745,Horror
tt0077745,Sci-Fi
tt1396484,Horror
tt0073195,Adventure
tt0073195,Thriller
tt0077766,Adventure
tt0077766,Horror
tt0077766,Thriller
tt1156454,Action
tt1156454,Adventure
tt1156454,Family
tt0373051,Action
tt0373051,Adventure
tt0373051,Family
tt7975244,Action
tt7975244,Adventure
tt7975244,Comedy
tt0369610,Action
tt0369610,Adventure
tt0369610,Sci-Fi
tt4881806,Action
tt4881806,Adventure
tt4881806,Sci-Fi
tt0074751,Adventure
tt0074751,Horror
tt8946378,Comedy
tt8946378,Crime
tt8946378,Drama
tt0093378,Biography
tt0093378,Drama
tt0093378,Music
tt0107362,Action
tt0107362,Adventure
tt0107362,Comedy
tt0250494,Comedy
tt0250494,Romance
tt0275847,Adventure
tt0275847,Animation
tt0275847,Comedy
tt0970866,Comedy
tt0970866,Romance
tt0070328,Action
tt0070328,Adventure
tt0070328,Thriller
tt1392190,Action
tt1392190,Adventure
tt1392190,Sci-Fi
tt0479952,Adventure
tt0479952,Animation
tt0479952,Comedy
tt0077889,Drama
tt0077889,Horror
tt0070355,Action
tt0070355,Crime
tt0070355,Mystery
tt4777008,Adventure
tt4777008,Family
tt4777008,Fantasy
tt0089560,Biography
tt0089560,Drama
tt0317919,Action
tt0317919,Adventure
tt0317919,Thriller
tt0369735,Comedy
tt0369735,Romance
tt1453405,Adventure
tt1453405,Animation
tt1453405,Comedy
tt0864835,Adventure
tt0864835,Animation
tt0864835,Comedy
tt0120762,Adventure
tt0120762,Animation
tt0120762,Comedy
tt0074937,Comedy
tt0074937,Crime
tt0074937,Mystery
tt0071877,Crime
tt0071877,Drama
tt0071877,Mystery
tt0074958,Drama
tt0102526,Action
tt0102526,Crime
tt0102526,Drama
tt10954652,Drama
tt10954652,Horror
tt10954652,Mystery
tt1114740,Action
tt1114740,Comedy
tt1114740,Crime
tt0091738,Comedy
tt0091738,Drama
tt0091738,Fantasy
tt0089822,Comedy
tt0091777,Comedy
tt0091778,Horror
tt0100404,Mystery
tt0100404,Thriller
tt0110912,Crime
tt0110912,Drama
tt0448694,Adventure
tt0448694,Animation
tt0448694,Comedy
tt5109280,Action
tt5109280,Adventure
tt5109280,Animation
tt1436562,Adventure
tt1436562,Animation
tt1436562,Comedy
tt0107969,Action
tt0107969,Crime
tt0107969,Drama
tt0086200,Comedy
tt0086200,Crime
tt0086200,Drama
tt0257044,Crime
tt0257044,Drama
tt0257044,Thriller
tt0102798,Action
tt0102798,Adventure
tt0102798,Drama
tt0075148,Drama
tt0075148,Sport
tt0084602,Drama
tt0084602,Sport
tt3748528,Action
tt3748528,Adventure
tt3748528,Sci-Fi
tt0091875,Action
tt0091875,Comedy
tt0091875,Crime
tt0206275,Drama
tt0206275,Music
tt0206275,Romance
tt0134084,Horror
tt0134084,Mystery
tt0098273,Crime
tt0098273,Drama
tt0098273,Mystery
tt0078227,Comedy
tt0078227,Romance
tt0078227,Sport
tt0070666,Biography
tt0070666,Crime
tt0070666,Drama
tt1000774,Comedy
tt1000774,Drama
tt1000774,Romance
tt0073692,Comedy
tt0073692,Drama
tt0448115,Action
tt0448115,Adventure
tt0448115,Comedy
tt1515091,Action
tt1515091,Adventure
tt1515091,Mystery
tt0075222,Comedy
tt0105417,Comedy
tt0105417,Family
tt0105417,Music
tt0069303,Drama
tt0069303,Family
tt0094012,Adventure
tt0094012,Comedy
tt0094012,Sci-Fi
tt0114508,Action
tt0114508,Horror
tt0114508,Sci-Fi
tt0145487,Action
tt0145487,Adventure
tt0145487,Sci-Fi
tt6320628,Action
tt6320628,Adventure
tt6320628,Sci-Fi
tt0227538,Action
tt0227538,Adventure
tt0227538,Comedy
tt0796366,Action
tt0796366,Adventure
tt0796366,Sci-Fi
tt0098382,Action
tt0098382,Adventure
tt0098382,Fantasy
tt0102975,Action
tt0102975,Adventure
tt0102975,Sci-Fi
tt0117731,Action
tt0117731,Adventure
tt0117731,Drama
tt0111280,Action
tt0111280,Adventure
tt0111280,Mystery
tt0079945,Adventure
tt0079945,Mystery
tt0079945,Sci-Fi
tt0335438,Comedy
tt0335438,Crime
tt0079948,Comedy
tt0079948,Romance
tt0098384,Comedy
tt0098384,Drama
tt0098384,Romance
tt0083131,Comedy
tt0083131,War
tt0164912,Adventure
tt0164912,Comedy
tt0164912,Family
tt0086383,Action
tt0086383,Crime
tt0086383,Thriller
tt1386697,Action
tt1386697,Adventure
tt1386697,Fantasy
tt3263904,Biography
tt3263904,Drama
tt0078346,Action
tt0078346,Adventure
tt0078346,Drama
tt0086393,Action
tt0086393,Adventure
tt0086393,Comedy
tt1291150,Action
tt1291150,Adventure
tt1291150,Comedy
tt0103060,Action
tt0103060,Adventure
tt0103060,Comedy
tt0181852,Action
tt0181852,Sci-Fi
tt0438488,Action
tt0438488,Sci-Fi
tt1872181,Action
tt1872181,Adventure
tt1872181,Fantasy
tt0072653,Comedy
tt0072653,Family
tt0072653,Western
tt0074174,Comedy
tt0074174,Drama
tt0074174,Family
tt0115685,Comedy
tt0878804,Biography
tt0878804,Drama
tt0878804,Sport
tt0103855,Action
tt0103855,Drama
tt0103855,Music
tt0258463,Action
tt0258463,Mystery
tt0258463,Thriller
tt0499448,Action
tt0499448,Adventure
tt0499448,Family
tt0109446,Crime
tt0109446,Drama
tt0109446,Mystery
tt0481499,Adventure
tt0481499,Animation
tt0481499,Comedy
tt0382625,Mystery
tt0382625,Thriller
tt1345836,Action
tt1345836,Crime
tt0069946,Drama
tt0069946,Sci-Fi
tt0069946,Thriller
tt0072926,Action
tt0072926,Crime
tt0072926,Thriller
tt0080678,Biography
tt0080678,Drama
tt0077504,Comedy
tt0077504,Drama
tt0232500,Action
tt0232500,Crime
tt0232500,Thriller
tt0091064,Drama
tt0091064,Horror
tt0091064,Sci-Fi
tt0082406,Adventure
tt0082406,Animation
tt0082406,Drama
tt0076070,Action
tt0076070,Crime
tt0076070,Thriller
tt0091129,Action
tt0091129,Adventure
tt0091129,Comedy
tt1979388,Adventure
tt1979388,Animation
tt1979388,Comedy
tt0089218,Adventure
tt0089218,Comedy
tt0089218,Family
tt1411697,Comedy
tt2310332,Adventure
tt2310332,Fantasy
tt1170358,Adventure
tt1170358,Fantasy
tt1951264,Action
tt1951264,Drama
tt1951264,Mystery
tt1951266,Action
tt1951266,Adventure
tt1951266,Sci-Fi
tt0317705,Action
tt0317705,Adventure
tt0317705,Animation
tt0317740,Action
tt0317740,Crime
tt0317740,Thriller
tt0110366,Comedy
tt0110366,Family
tt0110366,Romance
tt0077869,Adventure
tt0077869,Animation
tt0077869,Fantasy
tt0167261,Action
tt0167261,Adventure
tt0167261,Drama
tt0079510,Comedy
tt0079510,Romance
tt0079510,Sport
tt0110475,Action
tt0110475,Comedy
tt0110475,Crime
tt0120746,Action
tt0120746,Adventure
tt0120746,Comedy
tt0074906,Drama
tt0074906,Western
tt0079588,Adventure
tt0079588,Comedy
tt0079588,Family
tt0095705,Comedy
tt0095705,Crime
tt0076507,Drama
tt0076507,Romance
tt0076507,Thriller
tt0230600,Horror
tt0230600,Mystery
tt0230600,Thriller
tt0076618,Adventure
tt0076618,Animation
tt0076618,Comedy
tt2709768,Adventure
tt2709768,Animation
tt2709768,Comedy
tt5113040,Adventure
tt5113040,Animation
tt5113040,Comedy
tt0093936,Comedy
tt0093936,Romance
tt0102926,Crime
tt0102926,Drama
tt0102926,Horror
tt0462538,Adventure
tt0462538,Animation
tt0462538,Comedy
tt2279373,Adventure
tt2279373,Animation
tt2279373,Comedy
tt0076752,Action
tt0076752,Adventure
tt0076752,Thriller
tt0084749,Action
tt0084749,Adventure
tt0084749,Fantasy
tt0120484,Comedy
tt0120484,Sport
tt0070903,Drama
tt0070903,Romance
tt1430132,Action
tt1430132,Sci-Fi
tt0143145,Action
tt0143145,Adventure
tt0143145,Thriller
tt0800369,Action
tt0800369,Adventure
tt0800369,Fantasy
tt0073802,Crime
tt0073802,Mystery
tt0073802,Thriller
tt0088272,Crime
tt0088272,Mystery
tt0088272,Thriller
tt1361336,Adventure
tt1361336,Animation
tt1361336,Comedy
tt0120347,Action
tt0120347,Adventure
tt0120347,Thriller
tt0084805,Comedy
tt0084805,Drama
tt0084805,Romance
tt0098536,Comedy
tt0098536,Crime
tt0098536,Drama
tt0086491,Horror
tt0086491,Sci-Fi
tt0096320,Comedy
tt0096320,Crime
tt0105690,Action
tt0105690,Thriller
tt0078446,Comedy
tt0078446,Music
tt0081696,Drama
tt0081696,Romance
tt0081696,Western
tt7097896,Action
tt7097896,Adventure
tt7097896,Sci-Fi
tt0396269,Comedy
tt0396269,Romance
tt0105812,Comedy
tt0105812,Drama
tt0105812,Sport
tt0451279,Action
tt0451279,Adventure
tt0451279,Fantasy
tt1877832,Action
tt1877832,Adventure
tt1877832,Sci-Fi
tt0115433,Adventure
tt0115433,Comedy
tt0115433,Crime
tt2294449,Action
tt2294449,Comedy
tt2294449,Crime
tt0104257,Drama
tt0104257,Thriller
tt0075648,Action
tt0075648,Drama
tt0075648,Thriller
tt2049386,Fantasy
tt2049386,Musical
tt1014759,Adventure
tt1014759,Family
tt1014759,Fantasy
tt0069704,Comedy
tt0069704,Drama
tt0090633,Adventure
tt0090633,Animation
tt0090633,Comedy
tt0082010,Comedy
tt0082010,Horror
tt0122933,Comedy
tt0122933,Crime
tt0478970,Action
tt0478970,Adventure
tt0478970,Comedy
tt0078788,Drama
tt0078788,Mystery
tt0078788,War
tt1477834,Action
tt1477834,Adventure
tt1477834,Fantasy
tt0368578,Adventure
tt0368578,Comedy
tt0368578,Family
tt0295178,Action
tt0295178,Adventure
tt0295178,Comedy
tt0145660,Action
tt0145660,Adventure
tt0145660,Comedy
tt4154796,Action
tt4154796,Adventure
tt4154796,Drama
tt0090685,Comedy
tt0090685,Romance
tt0090685,Sport
tt0088763,Adventure
tt0088763,Comedy
tt0088763,Sci-Fi
tt0099088,Adventure
tt0099088,Comedy
tt0099088,Sci-Fi
tt4651520,Comedy
tt0072684,Adventure
tt0072684,Drama
tt0072684,History
tt0103772,Drama
tt0103772,Mystery
tt0103772,Thriller
tt0118688,Action
tt0118688,Sci-Fi
tt0372784,Action
tt0372784,Adventure
tt0112462,Action
tt0112462,Adventure
tt0069768,Action
tt0069768,Sci-Fi
tt0103786,Comedy
tt0103786,Drama
tt0103786,Family
tt0092644,Action
tt0092644,Comedy
tt0092644,Crime
tt0094746,Comedy
tt0094746,Drama
tt0083658,Action
tt0083658,Sci-Fi
tt0083658,Thriller
tt0092666,Comedy
tt0092666,Romance
tt1478338,Comedy
tt1478338,Romance
tt0305669,Comedy
tt0068327,Drama
tt0068327,Music
tt0068327,Musical
tt3498820,Action
tt3498820,Adventure
tt3498820,Sci-Fi
tt1843866,Action
tt1843866,Adventure
tt1843866,Sci-Fi
tt0074285,Horror
tt0074285,Mystery
tt0317219,Adventure
tt0317219,Animation
tt0317219,Comedy
tt0162222,Adventure
tt0162222,Drama
tt0162222,Romance
tt0371606,Adventure
tt0371606,Animation
tt0371606,Comedy
tt1661199,Adventure
tt1661199,Drama
tt1661199,Family
tt5089556,Fantasy
tt0120632,Drama
tt0120632,Fantasy
tt0120632,Romance
tt0088944,Action
tt0088944,Adventure
tt0088944,Thriller
tt0118880,Action
tt0118880,Crime
tt0118880,Thriller
tt0115956,Action
tt0115956,Drama
tt0115956,Mystery
tt0068468,Adult
tt0068468,Comedy
tt0068473,Adventure
tt0068473,Drama
tt0068473,Thriller
tt1690953,Adventure
tt1690953,Animation
tt1690953,Comedy
tt3469046,Adventure
tt3469046,Animation
tt3469046,Comedy
tt0092890,Drama
tt0092890,Music
tt0092890,Romance
tt1840309,Action
tt1840309,Adventure
tt1840309,Mystery
tt0092925,Comedy
tt0092925,Crime
tt0080661,Crime
tt0080661,Drama
tt0080661,Mystery
tt0461770,Adventure
tt0461770,Animation
tt0461770,Comedy
tt0116213,Action
tt0116213,Drama
tt0116213,Thriller
tt0079116,Action
tt0079116,Biography
tt0079116,Crime
tt5433138,Action
tt5433138,Adventure
tt5433138,Crime
tt0119094,Action
tt0119094,Crime
tt0119094,Sci-Fi
tt1596343,Action
tt1596343,Adventure
tt1596343,Crime
tt0085549,Drama
tt0085549,Music
tt0085549,Romance
tt0408790,Drama
tt0408790,Mystery
tt0408790,Thriller
tt0369436,Comedy
tt0369436,Drama
tt0369436,Romance
tt0109831,Comedy
tt0109831,Drama
tt0109831,Romance
tt0080761,Horror
tt0080761,Mystery
tt0080761,Thriller
tt0093058,Drama
tt0093058,War
tt1583421,Action
tt1583421,Adventure
tt1583421,Sci-Fi
tt1046173,Action
tt1046173,Adventure
tt1046173,Sci-Fi
tt0097428,Action
tt0097428,Comedy
tt0097428,Fantasy
tt1133985,Action
tt1133985,Adventure
tt1133985,Sci-Fi
tt1502407,Crime
tt1502407,Horror
tt1502407,Thriller
tt0448157,Action
tt0448157,Drama
tt0448157,Fantasy
tt0099785,Comedy
tt0099785,Family
tt2510894,Adventure
tt2510894,Animation
tt2510894,Comedy
tt0170016,Comedy
tt0170016,Family
